"Age","LearningCategorySelftTaught","LearningCategoryOnlineCourses","LearningCategoryWork","LearningCategoryUniversity","LearningCategoryKaggle","GenderSelect","Country","EmploymentStatus","DataScienceIdentitySelect","FormalEducation","MajorSelect","Tenure","FirstTrainingSelect","ParentsEducation","EmployerIndustry","EmployerSize","EmployerSizeChange","EmployerMLTime","EmployerSearchMethod","RemoteWork","CompensationAmount","CompensationCurrency","FormalEducation_Q","Tenure_Q","EmployerSize_Q","...1","exchangeRate","frac","Salary_USD","Compensation_Median_USD","Median_to_Salary"
27,50,25,15,0,10,"Male","China","Employed full-time","Yes","Bachelor's degree","Mathematics or statistics","1 to 2 years","Self-taught","High school","Technology","10 to 19 employees","Stayed the same","Less than one year","A tech-specific job board","Rarely",12000,"ALL",4,2,2,42,0.008956,0.04,107.472,36720,341.670388566324
19,0,10,0,10,80,"Male","Brazil","Employed part-time","Yes","I did not complete any formal education past high school","","Less than a year","Kaggle competitions","High school","Academic","I don't know","Stayed the same","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Don't know",400,"BRL",1,1,10,5,0.32135,0.91,128.54,32135,250
26,15,10,20,50,5,"Male","Taiwan","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","High school","Technology","100 to 499 employees","Increased slightly","6-10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Never",7e+05,"TWD",5,3,4,16,0.033304,0.74,23312.8,30153.32,1.2934233554099
28,70,10,10,0,10,"Male","Canada","Employed full-time","No","Bachelor's degree","Information technology, networking, or system administration","3 to 5 years","Self-taught","High school","Financial","10,000 or more employees","Increased slightly","Less than one year","A career fair or on-campus recruiting event","Rarely",75000,"CAD",4,3,8,7,0.823688,0.95,61776.6,74131.92,1.2
27,30,20,50,0,0,"Male","China","Employed full-time","No","Bachelor's degree","Mathematics or statistics","3 to 5 years","University courses","Primary/elementary school","Technology","100 to 499 employees","Increased slightly","1-2 years","An external recruiter or headhunter","Most of the time",170000,"CNY",4,3,4,10,0.153,0.83,26010,36720,1.41176470588235
25,30,20,20,10,10,"Male","China","Employed full-time","Yes","Master's degree","","Less than a year","Self-taught","High school","Academic","20 to 99 employees","Decreased slightly","3-5 years","A career fair or on-campus recruiting event","Always",20000,"ALL",5,1,3,42,0.008956,0.04,179.12,36720,205.002233139795
33,30,0,40,30,0,"Male","Italy","Employed full-time","","Doctoral degree","Engineering (non-computer focused)","6 to 10 years","University courses","High school","Technology","20 to 99 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Never",35000,"EUR",6,4,3,2,1.195826,1,41853.91,45441.388,1.08571428571429
47,0,100,0,0,0,"Male","Singapore","Employed full-time","No","Master's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","High school","Academic","100 to 499 employees","Stayed the same","Don't know","A general-purpose job board","Sometimes",120000,"SGD",5,1,4,12,0.742589,0.96,89110.68,59407.12,0.666666666666667
36,100,0,0,0,0,"Female","Canada","Employed full-time","No","Bachelor's degree","Other","3 to 5 years","Work","","Insurance","1,000 to 4,999 employees","Stayed the same","Less than one year","A general-purpose job board","Never",50000,"CAD",4,3,6,7,0.823688,0.95,41184.4,74131.92,1.8
39,20,70,10,0,0,"Male","India","Employed part-time","Sort of (Explain more)","Doctoral degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Other","10,000 or more employees","Stayed the same","More than 10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",46000,"USD",6,3,8,1,1,0.04,46000,15114.75,0.32858152173913
34,10,90,0,0,0,"Female","United States","Employed full-time","Sort of (Explain more)","Doctoral degree","Electrical Engineering","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","","Other","10,000 or more employees","Decreased significantly","1-2 years","A tech-specific job board","",93000,"USD",6,4,8,1,1,1,93000,110000,1.18279569892473
50,50,0,0,0,0,"Male","India","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Master's degree","Mathematics or statistics","More than 10 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Mix of fields","","","","","Most of the time",1500000,"INR",5,5,NA,3,0.01562,0.94,23430,15114.75,0.645102432778489
23,10,40,50,0,0,"Male","India","Employed full-time","Yes","Bachelor's degree","Electrical Engineering","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Financial","5,000 to 9,999 employees","Increased significantly","3-5 years","A career fair or on-campus recruiting event","Sometimes",8e+05,"INR",4,2,7,3,0.01562,0.94,12496,15114.75,1.20956706145967
29,40,40,0,20,0,"Male","Australia","Employed full-time","","Master's degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Hospitality/Entertainment/Sports","20 to 99 employees","Increased significantly","Less than one year","A general-purpose job board","Sometimes",70000,"AUD",5,3,3,8,0.80231,0.98,56161.7,96277.2,1.71428571428571
26,30,20,0,50,0,"Male","Chile","Independent contractor, freelancer, or self-employed","Yes","Bachelor's degree","Computer Science","3 to 5 years","University courses","High school","Academic","","","","","Most of the time",170000,"CLP",4,3,NA,34,0.001606,0.71,273.02,38544,141.176470588235
33,90,0,9,0,1,"Female","United States","Employed full-time","No","Master's degree","Other","Less than a year","Self-taught","A master's degree","Government","1,000 to 4,999 employees","Increased slightly","Don't know","I visited the company's Web site and found a job listing there","Sometimes",51000,"USD",5,1,6,1,1,1,51000,110000,2.15686274509804
52,15,10,25,50,0,"Male","United States","Employed full-time","Yes","Master's degree","Computer Science","More than 10 years","University courses","High school","Academic","500 to 999 employees","Increased slightly","6-10 years","A friend, family member, or former colleague told me","Always",55000,"USD",5,5,5,1,1,1,55000,110000,2
24,60,0,0,40,0,"Male","Singapore","Employed full-time","Sort of (Explain more)","Master's degree","Mathematics or statistics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Academic","Fewer than 10 employees","Increased slightly","Less than one year","A career fair or on-campus recruiting event","Never",3800,"SGD",5,3,1,12,0.742589,0.96,33862.0584,59407.12,1.75438596491228
46,30,0,20,50,0,"Male","Japan","Employed full-time","No","Doctoral degree","Psychology","More than 10 years","University courses","A bachelor's degree","Academic","20 to 99 employees","Stayed the same","More than 10 years","A general-purpose job board","Sometimes",7800000,"JPY",6,5,3,9,0.009108,0.91,71042.4,63756,0.897435897435897
22,10,50,10,10,20,"Non-binary, genderqueer, or gender non-conforming","India","Employed full-time","No","Bachelor's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","High school","Other","5,000 to 9,999 employees","Increased slightly","1-2 years","A career fair or on-campus recruiting event","Sometimes",7e+05,"INR",4,1,7,3,0.01562,0.94,10934,15114.75,1.38236235595391
34,0,90,10,0,0,"Male","Singapore","Employed full-time","No","Bachelor's degree","Computer Science","More than 10 years","Online courses (coursera, udemy, edx, etc.)","I don't know/not sure","Other","20 to 99 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",96000,"SGD",4,5,3,12,0.742589,0.96,71288.544,59407.12,0.833333333333333
27,15,5,25,55,0,"Male","India","Employed full-time","Sort of (Explain more)","Master's degree","A social science","6 to 10 years","University courses","A master's degree","Financial","10,000 or more employees","Increased significantly","6-10 years","A career fair or on-campus recruiting event","Rarely",2100000,"INR",5,4,8,3,0.01562,0.94,32802,15114.75,0.460787451984635
26,50,25,0,25,0,"Male","South Korea","Employed full-time","No","Bachelor's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Academic","I don't know","Increased slightly","Less than one year","Some other way","",7200000,"KRW",4,1,10,22,0.000886,0.8,6379.2,37212,5.83333333333333
27,15,10,25,50,0,"Male","India","Employed full-time","","Master's degree","Computer Science","1 to 2 years","University courses","High school","Internet-based","1,000 to 4,999 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",2e+05,"INR",5,2,6,3,0.01562,0.94,3124,15114.75,4.83826824583867
27,45,0,15,30,10,"Male","Brazil","Employed full-time","","Doctoral degree","Computer Science","3 to 5 years","Self-taught","A bachelor's degree","Academic","5,000 to 9,999 employees","Stayed the same","6-10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Most of the time",2e+05,"BRL",6,3,7,5,0.32135,0.91,64270,32135,0.5
33,20,50,0,0,0,"Male","United States","Employed full-time","Yes","Master's degree","","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Financial","10,000 or more employees","Decreased slightly","Less than one year","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",70000,"USD",5,4,8,1,1,1,70000,110000,1.57142857142857
33,30,60,10,0,0,"Male","Singapore","Employed full-time","Sort of (Explain more)","Master's degree","Engineering (non-computer focused)","6 to 10 years","Self-taught","A master's degree","Financial","10,000 or more employees","Decreased significantly","3-5 years","Some other way","Rarely",160000,"SGD",5,4,8,12,0.742589,0.96,118814.24,59407.12,0.5
30,30,30,20,10,10,"Male","Taiwan","Employed full-time","No","Master's degree","Electrical Engineering","3 to 5 years","University courses","High school","Technology","1,000 to 4,999 employees","Stayed the same","Less than one year","A general-purpose job board","Rarely",1300000,"TWD",5,3,6,16,0.033304,0.74,43295.2,30153.32,0.696458729836102
32,10,0,0,90,0,"Male","India","Employed full-time","Yes","Master's degree","Computer Science","6 to 10 years","University courses","A bachelor's degree","Technology","10,000 or more employees","Decreased slightly","1-2 years","A friend, family member, or former colleague told me","Most of the time",110000,"INR",5,4,8,3,0.01562,0.94,20618.4,15114.75,0.733070946339192
27,60,0,40,0,0,"Male","Japan","Employed full-time","Yes","Master's degree","Engineering (non-computer focused)","1 to 2 years","Self-taught","","Manufacturing","1,000 to 4,999 employees","Increased slightly","More than 10 years","A career fair or on-campus recruiting event","Never",4500000,"JPY",5,2,6,9,0.009108,0.91,40986,63756,1.55555555555556
48,50,50,0,0,0,"Male","Taiwan","Employed full-time","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","100 to 499 employees","Increased slightly","3-5 years","A friend, family member, or former colleague told me","Sometimes",30000,"USD",4,2,4,1,1,0.26,30000,30153.32,1.00511066666667
36,60,20,10,0,10,"Male","India","Independent contractor, freelancer, or self-employed","Yes","Master's degree","Mathematics or statistics","6 to 10 years","Self-taught","A bachelor's degree","Academic","","","","","",6e+05,"INR",5,4,NA,3,0.01562,0.94,9372,15114.75,1.61275608194622
27,15,85,0,0,0,"Male","United States","Employed full-time","No","Bachelor's degree","Other","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Internet-based","1,000 to 4,999 employees","Stayed the same","Less than one year","A friend, family member, or former colleague told me","Sometimes",115000,"USD",4,1,6,1,1,1,115000,110000,0.956521739130435
39,10,80,10,0,0,"Male","United States","Employed full-time","No","Master's degree","Management information systems","More than 10 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Retail","10,000 or more employees","Stayed the same","Less than one year","A friend, family member, or former colleague told me","Sometimes",115000,"USD",5,5,8,1,1,1,115000,110000,0.956521739130435
21,30,10,50,0,10,"Male","China","Employed part-time","Yes","Bachelor's degree","","1 to 2 years","Self-taught","A master's degree","CRM/Marketing","1,000 to 4,999 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Always",320000,"CNY",4,2,6,10,0.153,0.83,48960,36720,0.75
35,60,20,20,0,0,"Male","Singapore","Employed full-time","Yes","Bachelor's degree","Electrical Engineering","More than 10 years","Work","Some college/university study, no bachelor's degree","Financial","1,000 to 4,999 employees","Stayed the same","6-10 years","An external recruiter or headhunter","Rarely",120000,"SGD",4,5,6,12,0.742589,0.96,89110.68,59407.12,0.666666666666667
31,30,70,0,0,0,"Male","India","Employed full-time","No","Bachelor's degree","Information technology, networking, or system administration","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Telecommunications","10,000 or more employees","Decreased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",1400000,"INR",4,4,8,3,0.01562,0.94,21868,15114.75,0.691181177976953
27,20,0,10,70,0,"Female","United States","Employed full-time","","Bachelor's degree","A social science","3 to 5 years","Self-taught","A master's degree","Retail","100 to 499 employees","Decreased significantly","Less than one year","A general-purpose job board","Rarely",1e+05,"USD",4,3,4,1,1,1,1e+05,110000,1.1
28,30,40,20,10,0,"Male","Pakistan","Employed full-time","Yes","Bachelor's degree","Electrical Engineering","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Telecommunications","10,000 or more employees","Increased slightly","Don't know","A career fair or on-campus recruiting event","Rarely",6000,"USD",4,3,8,1,1,0.18,6000,7580.8,1.26346666666667
24,30,20,40,0,10,"Male","India","Employed full-time","No","Bachelor's degree","Engineering (non-computer focused)","1 to 2 years","Self-taught","A professional degree","Pharmaceutical","1,000 to 4,999 employees","Increased significantly","1-2 years","Some other way","",9e+05,"INR",4,2,6,3,0.01562,0.94,14058,15114.75,1.07517072129748
25,60,0,40,0,0,"Male","Japan","Employed full-time","Yes","Master's degree","Computer Science","3 to 5 years","University courses","Some college/university study, no bachelor's degree","Other","100 to 499 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Sometimes",4500000,"JPY",5,3,4,9,0.009108,0.91,40986,63756,1.55555555555556
24,20,60,0,0,20,"Male","Pakistan","Employed full-time","Sort of (Explain more)","Bachelor's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A professional degree","Technology","20 to 99 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",720000,"PKR",4,1,3,18,0.009476,0.82,6822.72,7580.8,1.11111111111111
26,10,80,0,0,10,"Male","India","Employed full-time","No","Bachelor's degree","Computer Science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Other","10,000 or more employees","","","A career fair or on-campus recruiting event","Never",655000,"INR",4,3,8,3,0.01562,0.94,10231.1,15114.75,1.47733381552326
43,20,0,40,40,0,"Male","Australia","Employed full-time","","Bachelor's degree","Electrical Engineering","More than 10 years","University courses","A master's degree","Other","5,000 to 9,999 employees","Stayed the same","3-5 years","An external recruiter or headhunter","Rarely",250000,"AUD",4,5,7,8,0.80231,0.98,200577.5,96277.2,0.48
28,20,70,10,0,0,"Male","India","Employed full-time","No","Master's degree","Electrical Engineering","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Technology","20 to 99 employees","Increased significantly","1-2 years","A friend, family member, or former colleague told me","",75000,"INR",5,2,3,3,0.01562,0.94,14058,15114.75,1.07517072129748
33,0,20,10,70,0,"Male","United States","Employed full-time","Yes","Master's degree","Computer Science","6 to 10 years","University courses","A bachelor's degree","Telecommunications","1,000 to 4,999 employees","Increased slightly","3-5 years","A career fair or on-campus recruiting event","Rarely",93000,"USD",5,4,6,1,1,1,93000,110000,1.18279569892473
38,20,10,0,40,30,"Male","United States","Employed full-time","No","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Internet-based","20 to 99 employees","Increased slightly","6-10 years","An external recruiter or headhunter","Sometimes",155000,"USD",5,3,3,1,1,1,155000,110000,0.709677419354839
45,30,20,10,20,20,"Female","United States","Employed part-time","Yes","Master's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","CRM/Marketing","20 to 99 employees","","","An external recruiter or headhunter","",150000,"USD",5,1,3,1,1,1,150000,110000,0.733333333333333
29,30,10,50,0,10,"Male","India","Employed full-time","Sort of (Explain more)","Master's degree","","3 to 5 years","Work","A master's degree","CRM/Marketing","10,000 or more employees","Increased slightly","More than 10 years","A general-purpose job board","Rarely",90000,"INR",5,3,8,3,0.01562,0.94,16869.6,15114.75,0.895975601081235
33,100,0,0,0,0,"Male","United States","Employed full-time","No","Some college/university study without earning a bachelor's degree","Computer Science","More than 10 years","Self-taught","High school","Insurance","10 to 19 employees","Stayed the same","Less than one year","An external recruiter or headhunter","Sometimes",140000,"USD",3,5,2,1,1,1,140000,110000,0.785714285714286
47,30,30,20,0,20,"Male","India","Independent contractor, freelancer, or self-employed","Sort of (Explain more)","Master's degree","Information technology, networking, or system administration","More than 10 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","","","","","Most of the time",150000,"USD",5,5,NA,1,1,0.04,150000,15114.75,0.100765
30,10,30,20,0,20,"Male","Australia","Employed full-time","Yes","Master's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Internet-based","1,000 to 4,999 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",155000,"AUD",5,1,6,8,0.80231,0.98,124358.05,96277.2,0.774193548387097
22,30,10,30,30,0,"Female","Brazil","Employed full-time","Yes","Some college/university study without earning a bachelor's degree","Mathematics or statistics","1 to 2 years","University courses","A bachelor's degree","Other","20 to 99 employees","Increased significantly","6-10 years","A general-purpose job board","Rarely",25000,"BRL",3,2,3,5,0.32135,0.91,8033.75,32135,4
25,20,40,10,30,0,"Male","India","Employed full-time","","Master's degree","Electrical Engineering","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Technology","1,000 to 4,999 employees","Increased slightly","3-5 years","A friend, family member, or former colleague told me","Never",1400000,"INR",5,2,6,3,0.01562,0.94,21868,15114.75,0.691181177976953
31,100,0,0,0,0,"Male","United States","Independent contractor, freelancer, or self-employed","Yes","Some college/university study without earning a bachelor's degree","Mathematics or statistics","Less than a year","Self-taught","Some college/university study, no bachelor's degree","Academic","","","","","Always",125000,"USD",3,1,NA,1,1,1,125000,110000,0.88
52,100,0,0,0,0,"Male","South Africa","Employed full-time","","Master's degree","Engineering (non-computer focused)","1 to 2 years","Self-taught","A bachelor's degree","Other","Fewer than 10 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Most of the time",370000,"ZAR",5,2,1,13,0.077002,0.96,28490.74,46201.2,1.62162162162162
24,30,50,5,5,10,"Male","France","Employed full-time","","Master's degree","Mathematics or statistics","3 to 5 years","Self-taught","A master's degree","Insurance","10,000 or more employees","Increased slightly","More than 10 years","A friend, family member, or former colleague told me","Rarely",50000,"EUR",5,3,8,2,1.195826,0.99,59791.3,55605.909,0.93
21,50,50,0,0,0,"Male","India","Employed full-time","Yes","Bachelor's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Technology","20 to 99 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Most of the time",5e+05,"INR",4,2,3,3,0.01562,0.94,7810,15114.75,1.93530729833547
22,20,50,10,10,10,"Male","Hong Kong","Employed full-time","No","Bachelor's degree","Other","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","High school","Mix of fields","10,000 or more employees","Increased slightly","3-5 years","A general-purpose job board","Sometimes",3e+05,"HKD",4,3,8,31,0.127998,0.88,38399.4,44799.3,1.16666666666667
32,20,0,40,20,20,"Male","Belgium","Employed full-time","","Doctoral degree","Physics","More than 10 years","Work","","Other","20 to 99 employees","Increased significantly","3-5 years","A tech-specific job board","Sometimes",70000,"EUR",6,5,3,2,1.195826,1,83707.82,65650.8474,0.784285714285714
50,30,50,20,0,0,"Male","United States","Employed full-time","Yes","Doctoral degree","","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Academic","100 to 499 employees","Stayed the same","Less than one year","A general-purpose job board","Never",82000,"USD",6,2,4,1,1,1,82000,110000,1.34146341463415
29,20,50,10,0,10,"Female","United States","Employed full-time","Sort of (Explain more)","Doctoral degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Academic","I don't know","Increased slightly","3-5 years","Some other way","Most of the time",24000,"USD",6,3,10,1,1,1,24000,110000,4.58333333333333
27,60,25,5,10,0,"Male","India","Independent contractor, freelancer, or self-employed","Yes","Doctoral degree","Computer Science","6 to 10 years","Self-taught","No education","Academic","","","","","Rarely",25000,"INR",6,4,NA,3,0.01562,0.94,4686,15114.75,3.22551216389245
25,20,20,40,0,20,"Male","India","Employed full-time","Yes","Master's degree","Electrical Engineering","1 to 2 years","University courses","I don't know/not sure","Other","20 to 99 employees","Stayed the same","1-2 years","A career fair or on-campus recruiting event","",20500,"INR",5,2,3,3,0.01562,0.94,320.21,15114.75,47.2026170325724
28,10,0,40,50,0,"Female","United States","Employed full-time","Yes","Master's degree","Mathematics or statistics","3 to 5 years","University courses","High school","Government","100 to 499 employees","Increased significantly","Don't know","A career fair or on-campus recruiting event","Sometimes",85000,"USD",5,3,4,1,1,1,85000,110000,1.29411764705882
39,0,50,40,0,10,"Female","United States","Employed full-time","Yes","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Technology","5,000 to 9,999 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Never",3e+05,"USD",5,2,7,1,1,1,3e+05,110000,0.366666666666667
37,10,80,10,0,0,"Female","India","Employed full-time","Yes","Master's degree","Electrical Engineering","Less than a year","Online courses (coursera, udemy, edx, etc.)","A master's degree","Insurance","5,000 to 9,999 employees","Decreased slightly","More than 10 years","A general-purpose job board","Most of the time",7e+05,"INR",5,1,7,3,0.01562,0.94,10934,15114.75,1.38236235595391
25,0,0,60,40,0,"Female","United States","Employed full-time","No","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","High school","Pharmaceutical","100 to 499 employees","Increased slightly","6-10 years","A friend, family member, or former colleague told me","Rarely",130000,"USD",4,3,4,1,1,1,130000,110000,0.846153846153846
29,10,70,5,5,10,"Male","United States","Employed full-time","Sort of (Explain more)","Bachelor's degree","Electrical Engineering","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Academic","500 to 999 employees","Increased slightly","Don't know","Some other way","Most of the time",18000,"USD",4,4,5,1,1,1,216000,110000,0.509259259259259
27,40,20,30,10,0,"Male","Russia","Employed full-time","Yes","Professional degree","","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Technology","Fewer than 10 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",8e+05,"RUB",2,2,1,6,0.017402,0.76,13921.6,22622.6,1.625
35,30,50,20,0,0,"Male","Japan","Employed full-time","No","Some college/university study without earning a bachelor's degree","Electrical Engineering","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Mix of fields","10 to 19 employees","Stayed the same","1-2 years","A tech-specific job board","Sometimes",4500000,"JPY",3,3,2,9,0.009108,0.91,40986,63756,1.55555555555556
51,5,85,5,0,5,"Male","Belgium","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Financial","10,000 or more employees","Decreased significantly","Don't know","A general-purpose job board","Rarely",7000,"EUR",5,2,8,2,1.195826,1,100449.384,65650.8474,0.653571428571428
24,30,65,5,0,0,"Male","India","Employed full-time","No","Bachelor's degree","Other","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Other","10,000 or more employees","Increased slightly","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",30000,"INR",4,2,8,3,0.01562,0.94,5623.2,15114.75,2.6879268032437
28,0,80,0,20,0,"Male","India","Employed full-time","Sort of (Explain more)","Master's degree","Electrical Engineering","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Mix of fields","1,000 to 4,999 employees","Increased slightly","1-2 years","A general-purpose job board","Rarely",1e+06,"INR",5,3,6,3,0.01562,0.94,15620,15114.75,0.967653649167734
31,50,20,0,0,30,"Male","India","Employed full-time","No","Bachelor's degree","Engineering (non-computer focused)","6 to 10 years","Self-taught","Some college/university study, no bachelor's degree","Technology","10,000 or more employees","Decreased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Most of the time",50000,"INR",4,4,8,3,0.01562,0.94,9372,15114.75,1.61275608194622
23,10,10,70,0,10,"Female","India","Employed full-time","Sort of (Explain more)","Master's degree","Information technology, networking, or system administration","Less than a year","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Technology","10 to 19 employees","Decreased slightly","Less than one year","A career fair or on-campus recruiting event","Always",15000,"INR",5,1,2,3,0.01562,0.94,234.3,15114.75,64.5102432778489
30,20,50,10,20,0,"Male","Chile","Employed full-time","Yes","Bachelor's degree","Engineering (non-computer focused)","6 to 10 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Mix of fields","20 to 99 employees","Increased slightly","Less than one year","I visited the company's Web site and found a job listing there","Rarely",1.5e+07,"CLP",4,4,3,34,0.001606,0.71,24090,38544,1.6
26,20,30,5,2,40,"Male","India","Independent contractor, freelancer, or self-employed","No","Bachelor's degree","Information technology, networking, or system administration","Less than a year","Kaggle competitions","Some college/university study, no bachelor's degree","Technology","","","","","Sometimes",140000,"INR",4,1,NA,3,0.01562,0.94,2186.8,15114.75,6.91181177976953
30,0,30,40,20,10,"Male","United States","Employed full-time","No","Master's degree","Information technology, networking, or system administration","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Internet-based","10,000 or more employees","Increased significantly","More than 10 years","A friend, family member, or former colleague told me","Never",70000,"USD",5,2,8,1,1,1,70000,110000,1.57142857142857
28,40,30,20,10,0,"Male","India","Employed full-time","No","Master's degree","Computer Science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Academic","10,000 or more employees","Increased slightly","Don't know","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",7600000,"INR",5,3,8,3,0.01562,0.94,118712,15114.75,0.127322848574702
21,50,10,30,0,10,"Male","Indonesia","Employed full-time","No","Bachelor's degree","","3 to 5 years","Self-taught","A master's degree","Internet-based","20 to 99 employees","Increased slightly","1-2 years","A friend, family member, or former colleague told me","",20000,"USD",4,3,3,1,1,0.12,20000,5928,0.2964
26,30,10,20,20,20,"Male","Singapore","Employed full-time","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","University courses","","Mix of fields","Fewer than 10 employees","Increased slightly","1-2 years","A tech-specific job board","",5e+05,"SGD",4,2,1,12,0.742589,0.96,371294.5,59407.12,0.16
34,10,20,0,70,0,"Female","Australia","Employed full-time","Yes","Doctoral degree","A humanities discipline","6 to 10 years","University courses","A master's degree","Technology","20 to 99 employees","Increased significantly","3-5 years","A career fair or on-campus recruiting event","Sometimes",80000,"AUD",6,4,3,8,0.80231,0.98,64184.8,96277.2,1.5
31,30,20,30,0,10,"Male","India","Employed full-time","No","Master's degree","Computer Science","6 to 10 years","Self-taught","Some college/university study, no bachelor's degree","Academic","100 to 499 employees","Increased slightly","3-5 years","A friend, family member, or former colleague told me","Rarely",40000,"INR",5,4,4,3,0.01562,0.94,7497.6,15114.75,2.01594510243278
39,10,11,3,1,5,"Female","India","Employed full-time","","Master's degree","Computer Science","Less than a year","Other","A master's degree","Technology","20 to 99 employees","Decreased slightly","Less than one year","A friend, family member, or former colleague told me","Rarely",4e+05,"INR",5,1,3,3,0.01562,0.94,6248,15114.75,2.41913412291933
27,30,5,35,30,0,"Male","India","Employed full-time","Yes","Master's degree","Information technology, networking, or system administration","6 to 10 years","University courses","A master's degree","Hospitality/Entertainment/Sports","500 to 999 employees","Increased slightly","1-2 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",8e+05,"INR",5,4,5,3,0.01562,0.94,12496,15114.75,1.20956706145967
